"< Measurement Data Text Output >"
""
"Date/Time","@date()","649","650","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","ßC","","","","","",""
"2021/11/15 19:57'01","44515.8312615741","  25.5000","  25.5000","","","","","","",
"2021/11/15 19:58'01","44515.8319560185","  25.5000","  25.5000","","","","","","",
"2021/11/15 19:59'01","44515.8326504630","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:00'01","44515.8333449074","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:01'01","44515.8340393519","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:02'01","44515.8347337963","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:03'01","44515.8354282407","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:04'01","44515.8361226852","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:05'01","44515.8368171296","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:06'01","44515.8375115741","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:07'01","44515.8382060185","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:08'01","44515.8389004630","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:09'01","44515.8395949074","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:10'01","44515.8402893519","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:11'01","44515.8409837963","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:12'01","44515.8416782407","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:13'01","44515.8423726852","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:14'01","44515.8430671296","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:15'01","44515.8437615741","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:16'01","44515.8444560185","  25.4000","  25.5000","","","","","","",
"2021/11/15 20:17'01","44515.8451504630","  25.4000","  25.4000","","","","","","",
"2021/11/15 20:18'01","44515.8458449074","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:19'01","44515.8465393519","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:20'01","44515.8472337963","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:21'01","44515.8479282407","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:22'01","44515.8486226852","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:23'01","44515.8493171296","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:24'01","44515.8500115741","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:25'01","44515.8507060185","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:26'01","44515.8514004630","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:27'01","44515.8520949074","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:28'01","44515.8527893519","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:29'01","44515.8534837963","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:30'01","44515.8541782407","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:31'01","44515.8548726852","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:32'01","44515.8555671296","  25.3000","  25.4000","","","","","","",
"2021/11/15 20:33'01","44515.8562615741","  25.3000","  25.3000","","","","","","",
"2021/11/15 20:34'01","44515.8569560185","  25.3000","  25.3000","","","","","","",
"2021/11/15 20:35'01","44515.8576504630","  25.3000","  25.3000","","","","","","",
"2021/11/15 20:36'01","44515.8583449074","  25.3000","  25.3000","","","","","","",
"2021/11/15 20:37'01","44515.8590393519","  25.3000","  25.3000","","","","","","",
"2021/11/15 20:38'01","44515.8597337963","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:39'01","44515.8604282407","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:40'01","44515.8611226852","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:41'01","44515.8618171296","  25.2000","  25.3000","","","","","","",
"2021/11/15 20:42'01","44515.8625115741","  25.2000","  25.3000","","","","","","",
